# {"t_start": 1603941905.529382, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,847,8.615843
-21.0,876,14.677035
-21.0,819,19.68261
-20.0,931,26.311249
-21.0,821,31.926191
-21.0,989,39.056015
-20.0,989,46.104909
-20.0,971,53.138178
-21.0,822,58.930371
-21.0,1006,66.365482
-21.0,970,77.029376
-21.0,821,85.395185
-20.0,855,91.655193
-21.0,904,98.240193
-20.0,1146,106.388698
-21.0,882,112.741631
-19.0,929,119.42616
-21.0,821,125.07003
-21.0,824,131.062973
-21.0,821,136.727262
-21.0,824,142.857425
-21.0,855,148.644238
-21.0,758,154.068895
-21.0,762,159.455473
-20.0,1124,167.412969
-19.0,1057,174.672484
-21.0,757,180.172981
-21.0,884,186.489621
-20.0,1002,193.641088
-21.0,764,199.077459
-20.0,842,204.874107
-21.0,820,210.972305
-21.0,757,215.99968
-21.0,760,221.448944
-21.0,763,226.901718
-20.0,869,233.048598
-21.0,778,238.452606
-19.0,991,247.919549
-21.0,762,253.754062
-21.0,763,260.807675
-21.0,886,267.515943
-20.0,967,274.890885
-21.0,759,280.980163
-20.0,900,287.359168
-21.0,761,292.723675
-21.0,758,297.996775
-21.0,760,303.287191
-21.0,762,308.61101
-21.0,758,313.942441
-20.0,933,320.488742
-21.0,820,326.345277
-21.0,764,331.707914
-21.0,764,337.041972
-21.0,758,342.477844
-21.0,760,347.941369
-21.0,778,353.337648
-21.0,759,360.733252
-21.0,762,366.105649
-21.0,758,371.434759
-20.0,973,378.289573
-21.0,877,384.032749
-20.0,897,390.331763
-21.0,822,396.31793
-20.0,1096,403.758771
-21.0,853,409.770472
-21.0,872,415.889167
-19.0,1044,423.143005
-21.0,763,428.502155
-21.0,759,433.843977
-21.0,758,439.114828
-21.0,758,444.344972
-21.0,759,449.581569
-20.0,924,455.899609
-20.0,860,461.637704
-20.0,945,468.511237
-21.0,839,474.087189
-20.0,957,480.833374
-21.0,822,486.353267
-21.0,790,491.800053
-20.0,959,498.804748
-20.0,836,504.424216
-20.0,836,510.408045
-21.0,824,515.926889
-21.0,840,521.867259
-21.0,781,527.237709
-20.0,895,533.430171
-21.0,820,538.997392
-20.0,879,545.135529
-20.0,837,551.067444
-21.0,821,556.667696
-21.0,905,562.895017
-21.0,911,569.157795
-20.0,999,580.025181
-21.0,825,586.647451
-20.0,882,593.701577
-21.0,821,599.509029
-20.0,1041,606.47957
-21.0,776,611.723753
-20.0,902,617.75744
-20.0,897,623.822895
-21.0,882,629.748764
-21.0,780,634.9403
-17.0,1176,642.79692
-18.0,1115,650.671184
-19.0,914,656.72704
-20.0,871,662.648235
-21.0,760,667.793367
-21.0,759,673.14158
-20.0,896,679.162823
-20.0,975,685.784457
-21.0,790,691.087138
-20.0,882,697.052921
-21.0,883,703.034318
-21.0,941,709.212148
-21.0,910,715.268834
-19.0,1116,722.858934
-21.0,848,728.63023
-21.0,1088,735.720512
-21.0,793,740.956361
-21.0,881,746.906451
-21.0,824,752.606568
-21.0,779,757.844427
-21.0,879,763.782568
-21.0,823,769.114344
-20.0,1037,775.988589
-21.0,818,781.322304
-21.0,823,787.135905
-21.0,823,792.499885
-21.0,819,798.156092
-21.0,823,803.565877
-21.0,880,809.498532
-21.0,778,814.738725
-20.0,838,820.546845
-21.0,783,825.800043
-19.0,910,831.859011
-21.0,850,837.385152
-21.0,911,843.421348
-20.0,878,849.38038
-20.0,838,855.159492
-21.0,819,860.784169
-21.0,821,866.692755
-19.0,971,872.95753
-20.0,1025,879.802659
-21.0,804,885.085305
-19.0,956,891.615312
-20.0,834,896.972694
-21.0,778,902.118738
-21.0,780,907.681742
-21.0,805,912.942397
-20.0,837,918.344627
-20.0,840,924.079642
-20.0,904,930.145968
-21.0,979,936.798488
-19.0,1116,944.02967
-20.0,1023,951.052137
-19.0,1190,959.467426
-20.0,920,965.547055
-21.0,938,971.715905
-20.0,1001,978.476337
-21.0,840,983.833399
-21.0,852,989.6605
-21.0,821,994.979642
-21.0,881,1000.952547
-20.0,839,1006.690448
-17.0,1237,1014.665339
-20.0,930,1021.100198
-18.0,1217,1029.087322
-21.0,1025,1035.921537
-21.0,792,1041.117803
-21.0,761,1046.257173
-16.0,1386,1056.068008
-21.0,845,1061.989882
-21.0,837,1067.452048
-20.0,897,1075.997458
-19.0,914,1085.922166
-21.0,838,1092.234815
-21.0,782,1099.674859
